"Duplicate ID","Duplicate score","subject","type","label","comment","abstract","long","lat","long_round","lat_round"
"1","0","http://dbpedia.org/resource/Palm_Springs,_California","http://dbpedia.org/resource/Charter_city","Palm Springs, California","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area.","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area. Biking, golf, hiking, horseback riding, swimming, and tennis in the nearby desert and mountain areas are major forms of recreation in Palm Springs. The city is also famous for its mid-century modern architecture and design elements.","-116.5302810668945","33.83027648925781","-116.53","33.83"
"1","100","http://dbpedia.org/resource/Palm_Springs,_California","http://dbpedia.org/resource/Charter_city","Palm Springs, California","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area.","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area. Biking, golf, hiking, horseback riding, swimming, and tennis in the nearby desert and mountain areas are major forms of recreation in Palm Springs. The city is also famous for its mid-century modern architecture and design elements.","-116.545280456543","33.83027648925781","-116.55","33.83"
"1","100","http://dbpedia.org/resource/Palm_Springs,_California","http://dbpedia.org/resource/Charter_city","Palm Springs, California","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area.","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area. Biking, golf, hiking, horseback riding, swimming, and tennis in the nearby desert and mountain areas are major forms of recreation in Palm Springs. The city is also famous for its mid-century modern architecture and design elements.","-116.545280456543","33.82389068603516","-116.55","33.82"
"1","100","http://dbpedia.org/resource/Palm_Springs,_California","http://dbpedia.org/resource/Charter_city","Palm Springs, California","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area.","Palm Springs is a desert resort city in Riverside County, California, United States, within the Coachella Valley. It is located approximately 55 mi (89 km) east of San Bernardino, 107 mi (172 km) east of Los Angeles, 123 mi (198 km) northeast of San Diego, and 268 mi (431 km) west of Phoenix, Arizona. The population was 44,552 as of the 2010 census. Palm Springs covers approximately 94 square miles (240 km2), making it the largest city in the county by land area. Biking, golf, hiking, horseback riding, swimming, and tennis in the nearby desert and mountain areas are major forms of recreation in Palm Springs. The city is also famous for its mid-century modern architecture and design elements.","-116.5302810668945","33.82389068603516","-116.53","33.82"
"2","0","http://dbpedia.org/resource/Live_Oak,_Sutter_County,_California","http://dbpedia.org/resource/California","Live Oak, Sutter County, California","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","-121.6619415283203","39.27583312988281","-121.66","39.28"
"2","100","http://dbpedia.org/resource/Live_Oak,_Sutter_County,_California","http://dbpedia.org/resource/California","Live Oak, Sutter County, California","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","-121.6600036621094","39.27583312988281","-121.66","39.28"
"2","100","http://dbpedia.org/resource/Live_Oak,_Sutter_County,_California","http://dbpedia.org/resource/California","Live Oak, Sutter County, California","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","-121.6619415283203","39.27444458007812","-121.66","39.27"
"2","100","http://dbpedia.org/resource/Live_Oak,_Sutter_County,_California","http://dbpedia.org/resource/California","Live Oak, Sutter County, California","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","Live Oak is an incorporated city in Sutter County, California, United States. It is part of the Yuba City Metropolitan Statistical Area within the Greater Sacramento CSA, and includes a hamlet historically named Stafford. The population was 8,392 at the 2010 census.","-121.6600036621094","39.27444458007812","-121.66","39.27"
"3","0","http://dbpedia.org/resource/Grand_Terrace,_California","http://dbpedia.org/resource/City","Grand Terrace, California","Grand Terrace is a city in San Bernardino County, California, United States. The population was 12,040 at the 2010 census, up from 11,626 at the 2000 census. Grand Terrace is located between Highgrove and Colton, along the 215 and Aqua Mansa industrial corridors. The city is situated between two mountain ridges: Blue Mountain to the east and the La Loma Hills to the west.","Grand Terrace is a city in San Bernardino County, California, United States. The population was 12,040 at the 2010 census, up from 11,626 at the 2000 census. Grand Terrace is located between Highgrove and Colton, along the 215 and Aqua Mansa industrial corridors. The city is situated between two mountain ridges: Blue Mountain to the east and the La Loma Hills to the west.","-117.3166656494141","34.03111267089844","-117.32","34.03"
"3","100","http://dbpedia.org/resource/Grand_Terrace,_California","http://dbpedia.org/resource/City","Grand Terrace, California","Grand Terrace is a city in San Bernardino County, California, United States. The population was 12,040 at the 2010 census, up from 11,626 at the 2000 census. Grand Terrace is located between Highgrove and Colton, along the 215 and Aqua Mansa industrial corridors. The city is situated between two mountain ridges: Blue Mountain to the east and the La Loma Hills to the west.","Grand Terrace is a city in San Bernardino County, California, United States. The population was 12,040 at the 2010 census, up from 11,626 at the 2000 census. Grand Terrace is located between Highgrove and Colton, along the 215 and Aqua Mansa industrial corridors. The city is situated between two mountain ridges: Blue Mountain to the east and the La Loma Hills to the west.","-117.3166656494141","34.03388977050781","-117.32","34.03"
